filename, ballooning, fibrosis, inflammation, steatosis
18_236_202_36_22_jpg.rf.00040886df1aa50afa8174b46972ce0d.jpg, 1, 0, 0, 0
18_217_217_56_2_jpg.rf.006e88e3106f2b33a096f541c6ca16ba.jpg, 0, 0, 1, 0
207_2_11_40_jpg.rf.0042bc3edb0b00bdc0022216a1ef8466.jpg, 0, 0, 0, 1
16_253_308_35_15_jpg.rf.008313230b0652712b7c5a477ef1e094.jpg, 0, 1, 0, 0
18_229_Masson_201_39_15_jpg.rf.00c3d90212a35b7b33162cd6d1ee8e52.jpg, 1, 0, 0, 0
16_224_101_110_19_jpg.rf.011967cc8ec215c827f93ecc8a0fb667.jpg, 0, 0, 1, 0
201_11_11_29_jpg.rf.01314de2322af18654d4926c98f1694f.jpg, 0, 0, 0, 1
18_236_303_58_12_jpg.rf.00a7cde3b20a65fd5d47bcb59d9fa753.jpg, 1, 0, 0, 0
18_219_201_14_6_jpg.rf.00a90ad186825c249e4e185847933140.jpg, 0, 1, 0, 0
16_224_101_109_44_jpg.rf.013df1aad65cff55477edb734329b690.jpg, 0, 0, 1, 0
15_242_208_22_16_jpg.rf.01391c1cf4f4909ecd98eb255c4204eb.jpg, 0, 1, 0, 0
18_236_303_60_26_jpg.rf.0147356ce1702bff86d03587d8128fcf.jpg, 1, 0, 0, 0
18_217_217_61_20_jpg.rf.013fdb9d0a852f7a72c2286db8e4c532.jpg, 0, 0, 1, 0
18_229_Masson_201_49_20_jpg.rf.014ad22cc689eb9195c538f5117bfe49.jpg, 1, 0, 0, 0
201_10_13_20_jpg.rf.015132ecbee0a2b6ae8d685057b99e62.jpg, 0, 0, 0, 1
201_3_18_6_jpg.rf.0154894b5b7a0997fbb3a1a21b3e4908.jpg, 0, 0, 0, 1
15_242_208_18_19_jpg.rf.014ca26fb4bceda464dfd95acffacea1.jpg, 0, 1, 0, 0
102_1_7_32_jpg.rf.01a54b84490db2c14a37d95f7ea76554.jpg, 0, 0, 0, 1
15_242_211_19_8_jpg.rf.019446ae9e00f3d6fea2afc03d2a622e.jpg, 0, 1, 0, 0
